No.,Item_Name,Food_Category,Serving_Size,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Protein,Sugar,Dietary_Fiber
5,#14 Veggie on White Regular,Sandwiches,386,660,27.5,16.5,1,75,925,68,34,8,3
43,Chop House Cheddar Burger Jr Whatameal,Burgers,1227,1430,58,15,1,80,1330,201,36,119,6
45,#7 Omelet w/ Bacon on Flour Tortilla Wrap,Sandwiches,274,710,38.5,16.5,0,480,1335,54,37,1,5
46,Whatachickn Sandwich Whatameal,Sandwiches,1078,1280,43,6,0,60,1340,203,34,96,13
49,#7 Omelet w/ Bacon on White Sub Roll,Sandwiches,284,680,32,14,0,480,1340,63,39,3,4
53,Spinach Artichoke Chicken on Spinach Florentine Bagel,Sandwiches,314,650,25,12,0.5,115,1350,63,45,7,5
64,Grilled Veggie Wrap on Spinach Wrap,Sandwiches,452,810,46,21,0.5,85,1385,66,33,11,5
75,#10 Tuna Fish on Flour Tortilla Wrap,Sandwiches,418,820,49,8.5,0,85,1435,64,32,6,6
81,Double Meat Whataburger,Burgers,400,830,44,14,2,90,1470,62,47,12,4
88,Chorizo Sunrise w/ Egg White,Sandwiches,326,790,46,19,0,90,1480,61,36,7,5
91,The 1/3 lb Original Six Dollar Thickburger,Burgers,338,780,48,15,2,110,1490,55,33,18,3
92,Chicken Caesar Wrap on Flour Tortilla Wrap,Sandwiches,359,650,28,6,0,90,1490,58,43,5,6
93,A1 Thick & Hearty Burger Jr Whatameal,Burgers,978,1250,49,12,1,65,1500,174,34,92,6
95,Double Meat Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1405,870,44,14,2,90,1500,72,47,17,5
99,#10 Tuna Fish on Wheat Wrap,Sandwiches,418,720,49,8.5,0,85,1505,62,32,5,7
101,The Big Chicken Fillet Sandwich,Sandwiches,312,710,36,6,1,80,1510,64,35,10,4
128,Turkey Pesto,Sandwiches,337,710,37,14,0,90,1600,56,40,2,3
133,Chorizo Sunrise w/ 2 Eggs,Sandwiches,361,920,57,23,1,465,1600,62,42,8,5
135,#10 Tuna Fish on Spinach Wrap,Sandwiches,418,820,49,9,0,85,1605,64,32,8,4
141,"Turkey, Bacon & Avocado",Sandwiches,318,660,30,5,0,60,1630,64,34,9,4
142,1/3 lb Cheeseburger,Burgers,256,640,35,13,,105,1630,55,31,15,10
155,Turkey Santa Fe,Sandwiches,345,730,40,14,0,90,1660,57,36,2,3
174,1/3 lb Bacon Cheese Thickburger,Burgers,324,850,54,17,2.5,130,1700,54,42,12,3
179,"The Grilled Burrito, Beef",Sandwiches,487,850,35,15,0.5,95,1720,90,41,7,8
182,Triple Meat Whataburger,Burgers,484,1080,63,21,3,130,1720,62,65,12,4
189,Triple Meat Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1489,1120,63,21,3,135,1750,72,65,17,5
195,"Wildfire Chicken Salad, High Calorie, Full",Salads,601,1170,63,17,0,65,1760,122,32,37,11
200,"The Grilled Burrito, Chicken",Sandwiches,478,830,31,14,0,130,1780,88,46,6,6
211,Grilled Breakfast Sandwich,Sandwiches,253,620,29,10,0,490,1810,53,36,4,4
221,Macho Combo Burrito,Sandwiches,538,950,37,20,0.5,110,1840,100,46,6,16
228,Sausage Pizza,Pizza,336,860,35,14,0.5,80,1870,98,35,8,4
246,"Taco Salad, Beef",Salads,506,930,56,17,,65,1930,73,35,7,9
