No.,Item_Name,Food_Category,Serving_Size,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Protein,Sugar,Dietary_Fiber
12,"#6 Famous Roast Beef & Provolone, Flour Tortilla Wrap",Sandwiches,417,745,30.5,13,0,125,1060,60,57,6,6
21,"Grilled Roast Beef & Cheese Wrap, Flour",Sandwiches,430,830,45,14,0.5,100,1170,65,42,12,5
25,#6 Famous Roast Beef & Provolone on Spinach Wrap,Sandwiches,412,720,29.5,13,0,120,1215,60,55,8,4
30,"#9 Club Supreme, White Mini",Sandwiches,324,620,27,8,0,75,1250,57,38,5,3
32,"Cheese & Veggies Pizza, 8 in",Pizza,381,740,25,11,0,50,1270,100,36,9,5
49,#7 Omelet w/ Bacon on White Sub Roll,Sandwiches,284,680,32,14,0,480,1340,63,39,3,4
61,"Grilled Veggie Wrap, Flour",Sandwiches,487,945,58.5,23.5,0.5,100,1380,69,36,10,7
71,All Natural Budweiser Beer Cheese Bacon Burger Single,Burgers,327,710,38,16,1,85,1430,51,40,11,3
99,#10 Tuna Fish on Wheat Wrap,Sandwiches,418,720,49,8.5,0,85,1505,62,32,5,7
112,The Breakfast Burger,Burgers,294,830,44,19,1,255,1540,68,39,13,4
186,Santa Fe Wrap,Sandwiches,314,650,32,16,0,380,1750,60,38,7,2
189,Triple Meat Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1489,1120,63,21,3,135,1750,72,65,17,5
193,Italian Chicken Tostini,Sandwiches,340,740,37,12,0,105,1760,59,48,3,9
218,Jalapeno & Cheese Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1357,720,32,12,1,65,1830,73,34,17,5
245,The 1/3 lb Super Bacon Thickburger,Burgers,354,960,63,20,2,130,1930,55,40,13,3
248,Roast Turkey & Swiss Sandwich,Sandwiches,326,710,28,7,0,65,1930,79,38,15,5
