No.,Item_Name,Food_Category,Serving_Size,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Protein,Sugar,Dietary_Fiber
1,Harvest Chicken Salad Sandwich,Sandwiches,297,620,26,4,0,60,730,66,34,15,11
4,#14 Veggie on Wheat Regular,Sandwiches,386,660,27.5,17,1,75,895,69,35,9,5
6,"#12 Cancro Special, Flour Tortilla Wrap",Sandwiches,458,770,31,13,1,135,990,61,63,6,7
7,"#12 The Cancro Special, Wheat Regular",Sandwiches,469,775,26,10.5,1,135,1000,71,65,10,7
11,#6 Famous Roast Beef & Provolone on Flour Tortilla Wrap,Sandwiches,412,720,29.5,12.5,0,120,1045,60,55,6,6
13,"#12 Cancro Special, Wheat Wrap",Sandwiches,458,760,31,13,1,135,1060,59,62,5,8
15,"Spinach, Mushroom & Swiss on Ancient Grain w/ 2 Eggs",Sandwiches,270,570,28,11,1,405,1080,54,31,8,9
16,#6 Famous Roast Beef & Provolone on Wheat Wrap,Sandwiches,412,720,29.5,12.5,0,120,1115,58,55,5,7
17,"#6 Roast Beef & Provolone, Wheat Wrap",Sandwiches,417,740,30.5,13,0,125,1130,58,57,5,7
18,"#12 Cancro Special, Tomato Wrap",Sandwiches,458,770,31,13,1,135,1140,60,63,11,5
21,"Grilled Roast Beef & Cheese Wrap, Flour",Sandwiches,430,830,45,14,0.5,100,1170,65,42,12,5
27,French Toast Egg Sandwich,Sandwiches,287,740,34,15,0.5,385,1230,79,31,27,2
28,"#6 Famous Roast Beef & Provolone, Spinach Wrap",Sandwiches,417,745,30.5,13.5,0,125,1230,60,57,8,4
32,"Cheese & Veggies Pizza, 8 in",Pizza,381,740,25,11,0,50,1270,100,36,9,5
34,Steak & Cheese Melt Sandwich,Sandwiches,224,680,35,12,1,110,1280,57,31,5,2
35,Grilled Veggie Wrap on Wheat Wrap,Sandwiches,452,800,46,20.5,0.5,85,1285,64,33,8,8
37,#12 Cancro Special on Wheat Wrap,Sandwiches,423,760,33.5,14,0,135,1300,58,58,5,7
39,The Double All Natural Burger,Burgers,398,1030,64,23,1.5,170,1310,62,53,19,3
